"SN","Date Time","Fuel","Engine Duration (Minute)","Avg Speed"
"1","01/01/2020 12:05 AM","77.11","0","0"
"2","01/01/2020 12:10 AM","77.11","0","0"
"3","01/01/2020 12:15 AM","77.08","0","0"
"4","01/01/2020 12:20 AM","77.08","0","0"
"5","01/01/2020 12:25 AM","77.11","0","0"
"6","01/01/2020 12:30 AM","77.08","0","0"
"7","01/01/2020 12:35 AM","77.11","0","0"
"8","01/01/2020 12:40 AM","77.11","0","0"
"9","01/01/2020 12:45 AM","77.11","0","0"
"10","01/01/2020 12:50 AM","77.08","0","0"
"11","01/01/2020 12:55 AM","77.11","0","0"
"12","01/01/2020 1:00 AM","77.08","0","0"
"13","01/01/2020 1:05 AM","77.11","0","0"
"14","01/01/2020 1:10 AM","77.08","0","0"
"15","01/01/2020 1:15 AM","77.11","0","0"
"16","01/01/2020 1:20 AM","77.08","0","0"
"17","01/01/2020 1:25 AM","77.08","0","0"
"18","01/01/2020 1:30 AM","77.08","0","0"
"19","01/01/2020 1:35 AM","77.08","0","0"
"20","01/01/2020 1:40 AM","77.08","0","0"
"21","01/01/2020 1:45 AM","77.11","0","0"
"22","01/01/2020 1:50 AM","77.08","0","0"
"23","01/01/2020 1:55 AM","77.08","0","0"
"24","01/01/2020 2:00 AM","77.08","0","0"
"25","01/01/2020 2:05 AM","77.08","0","0"
"26","01/01/2020 2:10 AM","77.08","0","0"
"27","01/01/2020 2:15 AM","77.11","0","0"
"28","01/01/2020 2:20 AM","77.08","0","0"
"29","01/01/2020 2:25 AM","77.11","0","0"
"30","01/01/2020 2:30 AM","77.08","0","0"
"31","01/01/2020 2:35 AM","77.11","0","0"
"32","01/01/2020 2:40 AM","77.11","0","0"
"33","01/01/2020 2:45 AM","77.08","0","0"
"34","01/01/2020 2:50 AM","77.08","0","0"
"35","01/01/2020 2:55 AM","77.08","0","0"
"36","01/01/2020 3:00 AM","77.14","0","0"
"37","01/01/2020 3:05 AM","77.08","0","0"
"38","01/01/2020 3:10 AM","77.08","0","0"
"39","01/01/2020 3:15 AM","77.08","0","0"
"40","01/01/2020 3:20 AM","77.08","0","0"
